city,date,temp,humidity,is_day,precipitation,weather_code,wind_speed
Cairo,2026-05-17 23:00:00+00:00,27.92599868774414,42.0,0.0,0.0,1.0,5.116561412811279
Alexandria,2026-05-17 23:00:00+00:00,21.454500198364258,78.0,0.0,0.0,1.0,6.0346999168396
Giza,2026-05-17 23:00:00+00:00,27.282499313354492,41.0,0.0,0.0,1.0,5.86037540435791
Qalyubia,2026-05-17 23:00:00+00:00,25.254499435424805,51.0,0.0,0.0,2.0,4.394360065460205
Dakahlia,2026-05-17 23:00:00+00:00,23.286998748779297,62.0,0.0,0.0,1.0,2.811689853668213
Gharbia,2026-05-17 23:00:00+00:00,23.254499435424805,65.0,0.0,0.0,1.0,1.7999999523162842
Monufia,2026-05-17 23:00:00+00:00,24.184999465942383,62.0,0.0,0.0,1.0,3.054701328277588
Sharqia,2026-05-17 23:00:00+00:00,25.549999237060547,50.0,0.0,0.0,1.0,6.130578994750977
Beheira,2026-05-17 23:00:00+00:00,21.067501068115234,69.0,0.0,0.0,1.0,5.351784706115723
Kafr El Sheikh,2026-05-17 23:00:00+00:00,21.98499870300293,66.0,0.0,0.0,1.0,4.896529197692871
Damietta,2026-05-17 23:00:00+00:00,22.54800033569336,69.0,0.0,0.0,1.0,2.741678237915039
Port Said,2026-05-17 23:00:00+00:00,24.243499755859375,66.0,0.0,0.0,1.0,4.33497428894043
Ismailia,2026-05-17 23:00:00+00:00,27.92599868774414,42.0,0.0,0.0,0.0,4.349896430969238
Suez,2026-05-17 23:00:00+00:00,27.945499420166016,47.0,0.0,0.0,1.0,2.4149534702301025
Faiyum,2026-05-17 23:00:00+00:00,29.149999618530273,27.473291397094727,0.0,0.0,2.0,16.244937896728516
Beni Suef,2026-05-17 23:00:00+00:00,29.399999618530273,27.72779655456543,0.0,0.0,2.0,20.696870803833008
Minya,2026-05-17 23:00:00+00:00,29.700000762939453,23.866214752197266,0.0,0.0,3.0,8.686748504638672
Asyut,2026-05-17 23:00:00+00:00,32.5,18.282005310058594,0.0,0.0,3.0,4.532284259796143
Sohag,2026-05-17 23:00:00+00:00,30.5,20.841022491455078,0.0,0.0,3.0,4.683459758758545
Qena,2026-05-17 23:00:00+00:00,31.700000762939453,21.069795608520508,0.0,0.0,3.0,5.351784706115723
Luxor,2026-05-17 23:00:00+00:00,32.150001525878906,21.474227905273438,0.0,0.0,2.0,5.983476638793945
Aswan,2026-05-17 23:00:00+00:00,33.150001525878906,17.62520980834961,0.0,0.0,0.0,3.1435649394989014
Red Sea,2026-05-17 23:00:00+00:00,28.350000381469727,38.18915939331055,0.0,0.0,2.0,10.062305450439453
New Valley,2026-05-17 23:00:00+00:00,33.0,17.960342407226562,0.0,0.0,2.0,9.53150463104248
Matrouh,2026-05-17 23:00:00+00:00,19.877500534057617,79.0,0.0,0.0,2.0,14.904172897338867
North Sinai,2026-05-17 23:00:00+00:00,25.73900032043457,59.0,0.0,0.0,3.0,3.617955207824707
South Sinai,2026-05-17 23:00:00+00:00,27.299999237060547,38.02066421508789,0.0,0.0,3.0,12.961250305175781
Cairo,2026-05-17 23:00:00+00:00,27.92599868774414,42.0,0.0,0.0,1.0,5.116561412811279
Alexandria,2026-05-17 23:00:00+00:00,21.454500198364258,78.0,0.0,0.0,1.0,6.0346999168396
Giza,2026-05-17 23:00:00+00:00,27.282499313354492,41.0,0.0,0.0,1.0,5.86037540435791
Qalyubia,2026-05-17 23:00:00+00:00,25.254499435424805,51.0,0.0,0.0,2.0,4.394360065460205
Dakahlia,2026-05-17 23:00:00+00:00,23.286998748779297,62.0,0.0,0.0,1.0,2.811689853668213
Gharbia,2026-05-17 23:00:00+00:00,23.254499435424805,65.0,0.0,0.0,1.0,1.7999999523162842
Monufia,2026-05-17 23:00:00+00:00,24.184999465942383,62.0,0.0,0.0,1.0,3.054701328277588
Sharqia,2026-05-17 23:00:00+00:00,25.549999237060547,50.0,0.0,0.0,1.0,6.130578994750977
Beheira,2026-05-17 23:00:00+00:00,21.067501068115234,69.0,0.0,0.0,1.0,5.351784706115723
Kafr El Sheikh,2026-05-17 23:00:00+00:00,21.98499870300293,66.0,0.0,0.0,1.0,4.896529197692871
Damietta,2026-05-17 23:00:00+00:00,22.54800033569336,69.0,0.0,0.0,1.0,2.741678237915039
Port Said,2026-05-17 23:00:00+00:00,24.243499755859375,66.0,0.0,0.0,1.0,4.33497428894043
Ismailia,2026-05-17 23:00:00+00:00,27.92599868774414,42.0,0.0,0.0,0.0,4.349896430969238
Suez,2026-05-17 23:00:00+00:00,27.945499420166016,47.0,0.0,0.0,1.0,2.4149534702301025
Faiyum,2026-05-17 23:00:00+00:00,29.149999618530273,27.473291397094727,0.0,0.0,2.0,16.244937896728516
Beni Suef,2026-05-17 23:00:00+00:00,29.399999618530273,27.72779655456543,0.0,0.0,2.0,20.696870803833008
Minya,2026-05-17 23:00:00+00:00,29.700000762939453,23.866214752197266,0.0,0.0,3.0,8.686748504638672
Asyut,2026-05-17 23:00:00+00:00,32.5,18.282005310058594,0.0,0.0,3.0,4.532284259796143
Sohag,2026-05-17 23:00:00+00:00,30.5,20.841022491455078,0.0,0.0,3.0,4.683459758758545
Qena,2026-05-17 23:00:00+00:00,31.700000762939453,21.069795608520508,0.0,0.0,3.0,5.351784706115723
Luxor,2026-05-17 23:00:00+00:00,32.150001525878906,21.474227905273438,0.0,0.0,2.0,5.983476638793945
Aswan,2026-05-17 23:00:00+00:00,33.150001525878906,17.62520980834961,0.0,0.0,0.0,3.1435649394989014
Red Sea,2026-05-17 23:00:00+00:00,28.350000381469727,38.18915939331055,0.0,0.0,2.0,10.062305450439453
New Valley,2026-05-17 23:00:00+00:00,33.0,17.960342407226562,0.0,0.0,2.0,9.53150463104248
Matrouh,2026-05-17 23:00:00+00:00,19.877500534057617,79.0,0.0,0.0,2.0,14.904172897338867
North Sinai,2026-05-17 23:00:00+00:00,25.73900032043457,59.0,0.0,0.0,3.0,3.617955207824707
South Sinai,2026-05-17 23:00:00+00:00,27.299999237060547,38.02066421508789,0.0,0.0,3.0,12.961250305175781
Cairo,2026-05-17 23:00:00+00:00,27.92599868774414,42.0,0.0,0.0,1.0,5.116561412811279
Alexandria,2026-05-17 23:00:00+00:00,21.454500198364258,78.0,0.0,0.0,1.0,6.0346999168396
Giza,2026-05-17 23:00:00+00:00,27.282499313354492,41.0,0.0,0.0,1.0,5.86037540435791
Qalyubia,2026-05-17 23:00:00+00:00,25.254499435424805,51.0,0.0,0.0,2.0,4.394360065460205
Dakahlia,2026-05-17 23:00:00+00:00,23.286998748779297,62.0,0.0,0.0,1.0,2.811689853668213
Gharbia,2026-05-17 23:00:00+00:00,23.254499435424805,65.0,0.0,0.0,1.0,1.7999999523162842
Monufia,2026-05-17 23:00:00+00:00,24.184999465942383,62.0,0.0,0.0,1.0,3.054701328277588
Sharqia,2026-05-17 23:00:00+00:00,25.549999237060547,50.0,0.0,0.0,1.0,6.130578994750977
Beheira,2026-05-17 23:00:00+00:00,21.067501068115234,69.0,0.0,0.0,1.0,5.351784706115723
Kafr El Sheikh,2026-05-17 23:00:00+00:00,21.98499870300293,66.0,0.0,0.0,1.0,4.896529197692871
Damietta,2026-05-17 23:00:00+00:00,22.54800033569336,69.0,0.0,0.0,1.0,2.741678237915039
Port Said,2026-05-17 23:00:00+00:00,24.243499755859375,66.0,0.0,0.0,1.0,4.33497428894043
Ismailia,2026-05-17 23:00:00+00:00,27.92599868774414,42.0,0.0,0.0,0.0,4.349896430969238
Suez,2026-05-17 23:00:00+00:00,27.945499420166016,47.0,0.0,0.0,1.0,2.4149534702301025
Faiyum,2026-05-17 23:00:00+00:00,29.149999618530273,27.473291397094727,0.0,0.0,2.0,16.244937896728516
Beni Suef,2026-05-17 23:00:00+00:00,29.399999618530273,27.72779655456543,0.0,0.0,2.0,20.696870803833008
Minya,2026-05-17 23:00:00+00:00,29.700000762939453,23.866214752197266,0.0,0.0,3.0,8.686748504638672
Asyut,2026-05-17 23:00:00+00:00,32.5,18.282005310058594,0.0,0.0,3.0,4.532284259796143
Sohag,2026-05-17 23:00:00+00:00,30.5,20.841022491455078,0.0,0.0,3.0,4.683459758758545
Qena,2026-05-17 23:00:00+00:00,31.700000762939453,21.069795608520508,0.0,0.0,3.0,5.351784706115723
Luxor,2026-05-17 23:00:00+00:00,32.150001525878906,21.474227905273438,0.0,0.0,2.0,5.983476638793945
Aswan,2026-05-17 23:00:00+00:00,33.150001525878906,17.62520980834961,0.0,0.0,0.0,3.1435649394989014
Red Sea,2026-05-17 23:00:00+00:00,28.350000381469727,38.18915939331055,0.0,0.0,2.0,10.062305450439453
New Valley,2026-05-17 23:00:00+00:00,33.0,17.960342407226562,0.0,0.0,2.0,9.53150463104248
Matrouh,2026-05-17 23:00:00+00:00,19.877500534057617,79.0,0.0,0.0,2.0,14.904172897338867
North Sinai,2026-05-17 23:00:00+00:00,25.73900032043457,59.0,0.0,0.0,3.0,3.617955207824707
South Sinai,2026-05-17 23:00:00+00:00,27.299999237060547,38.02066421508789,0.0,0.0,3.0,12.961250305175781
Cairo,2026-05-17 23:00:00+00:00,27.92599868774414,42.0,0.0,0.0,1.0,5.116561412811279
Alexandria,2026-05-17 23:00:00+00:00,21.454500198364258,78.0,0.0,0.0,1.0,6.0346999168396
Giza,2026-05-17 23:00:00+00:00,27.282499313354492,41.0,0.0,0.0,1.0,5.86037540435791
Qalyubia,2026-05-17 23:00:00+00:00,25.254499435424805,51.0,0.0,0.0,2.0,4.394360065460205
Dakahlia,2026-05-17 23:00:00+00:00,23.286998748779297,62.0,0.0,0.0,1.0,2.811689853668213
Gharbia,2026-05-17 23:00:00+00:00,23.254499435424805,65.0,0.0,0.0,1.0,1.7999999523162842
Monufia,2026-05-17 23:00:00+00:00,24.184999465942383,62.0,0.0,0.0,1.0,3.054701328277588
Sharqia,2026-05-17 23:00:00+00:00,25.549999237060547,50.0,0.0,0.0,1.0,6.130578994750977
Beheira,2026-05-17 23:00:00+00:00,21.067501068115234,69.0,0.0,0.0,1.0,5.351784706115723
Kafr El Sheikh,2026-05-17 23:00:00+00:00,21.98499870300293,66.0,0.0,0.0,1.0,4.896529197692871
Damietta,2026-05-17 23:00:00+00:00,22.54800033569336,69.0,0.0,0.0,1.0,2.741678237915039
Port Said,2026-05-17 23:00:00+00:00,24.243499755859375,66.0,0.0,0.0,1.0,4.33497428894043
Ismailia,2026-05-17 23:00:00+00:00,27.92599868774414,42.0,0.0,0.0,0.0,4.349896430969238
Suez,2026-05-17 23:00:00+00:00,27.945499420166016,47.0,0.0,0.0,1.0,2.4149534702301025
Faiyum,2026-05-17 23:00:00+00:00,29.149999618530273,27.473291397094727,0.0,0.0,2.0,16.244937896728516
Beni Suef,2026-05-17 23:00:00+00:00,29.399999618530273,27.72779655456543,0.0,0.0,2.0,20.696870803833008
Minya,2026-05-17 23:00:00+00:00,29.700000762939453,23.866214752197266,0.0,0.0,3.0,8.686748504638672
Asyut,2026-05-17 23:00:00+00:00,32.5,18.282005310058594,0.0,0.0,3.0,4.532284259796143
Sohag,2026-05-17 23:00:00+00:00,30.5,20.841022491455078,0.0,0.0,3.0,4.683459758758545
Qena,2026-05-17 23:00:00+00:00,31.700000762939453,21.069795608520508,0.0,0.0,3.0,5.351784706115723
Luxor,2026-05-17 23:00:00+00:00,32.150001525878906,21.474227905273438,0.0,0.0,2.0,5.983476638793945
Aswan,2026-05-17 23:00:00+00:00,33.150001525878906,17.62520980834961,0.0,0.0,0.0,3.1435649394989014
Red Sea,2026-05-17 23:00:00+00:00,28.350000381469727,38.18915939331055,0.0,0.0,2.0,10.062305450439453
New Valley,2026-05-17 23:00:00+00:00,33.0,17.960342407226562,0.0,0.0,2.0,9.53150463104248
Matrouh,2026-05-17 23:00:00+00:00,19.877500534057617,79.0,0.0,0.0,2.0,14.904172897338867
North Sinai,2026-05-17 23:00:00+00:00,25.73900032043457,59.0,0.0,0.0,3.0,3.617955207824707
South Sinai,2026-05-17 23:00:00+00:00,27.299999237060547,38.02066421508789,0.0,0.0,3.0,12.961250305175781
