city,date,temp,humidity,precipitation,wind_speed,cloud_cover
Cairo,2026-05-05 21:00:00+00:00,16.476,52.0,0.0,5.8603754,0.0
Cairo,2026-05-05 22:00:00+00:00,15.726,57.0,0.0,4.2136917,0.0
Cairo,2026-05-05 23:00:00+00:00,15.176,59.0,0.0,2.968636,1.0
Cairo,2026-05-06 00:00:00+00:00,14.676,62.0,0.0,2.52,0.0
Cairo,2026-05-06 01:00:00+00:00,14.226,65.0,0.0,2.2768397,0.0
Cairo,2026-05-06 02:00:00+00:00,13.876,69.0,0.0,1.9386592,0.0
Cairo,2026-05-06 03:00:00+00:00,13.526,72.0,0.0,1.609969,0.0
Cairo,2026-05-06 04:00:00+00:00,13.526,73.0,0.0,1.484318,0.0
Cairo,2026-05-06 05:00:00+00:00,15.126,65.0,0.0,0.8049845,0.0
Cairo,2026-05-06 06:00:00+00:00,17.425999,55.0,0.0,3.319036,0.0
Cairo,2026-05-06 07:00:00+00:00,19.476,45.0,0.0,6.849467,0.0
Cairo,2026-05-06 08:00:00+00:00,21.026,41.0,0.0,8.350138,37.0
Cairo,2026-05-06 09:00:00+00:00,22.276,38.0,0.0,7.9526596,45.0
Cairo,2026-05-06 10:00:00+00:00,23.476,34.0,0.0,8.287822,49.0
Cairo,2026-05-06 11:00:00+00:00,24.425999,32.0,0.0,8.311245,52.0
Cairo,2026-05-06 12:00:00+00:00,25.075998,27.0,0.0,9.0,36.0
Cairo,2026-05-06 13:00:00+00:00,25.575998,27.0,0.0,8.669949,27.0
Cairo,2026-05-06 14:00:00+00:00,25.575998,28.0,0.0,9.726665,39.0
Cairo,2026-05-06 15:00:00+00:00,25.226,27.0,0.0,9.007196,27.0
Cairo,2026-05-06 16:00:00+00:00,24.476,30.0,0.0,8.64,37.0
Cairo,2026-05-06 17:00:00+00:00,23.526,33.0,0.0,6.924738,32.0
Cairo,2026-05-06 18:00:00+00:00,21.726,41.0,0.0,15.683776,25.0
Cairo,2026-05-06 19:00:00+00:00,20.075998,49.0,0.0,12.661564,24.0
Cairo,2026-05-06 20:00:00+00:00,18.976,54.0,0.0,10.948973,31.0
Cairo,2026-05-06 21:00:00+00:00,18.126,61.0,0.0,9.659814,29.0
Cairo,2026-05-06 22:00:00+00:00,17.476,65.0,0.0,8.557102,2.0
Cairo,2026-05-06 23:00:00+00:00,16.776,69.0,0.0,6.924738,29.0
Cairo,2026-05-07 00:00:00+00:00,16.126,74.0,0.0,6.12,77.0
Cairo,2026-05-07 01:00:00+00:00,15.526,77.0,0.0,5.4119864,75.0
Cairo,2026-05-07 02:00:00+00:00,15.026,80.0,0.0,5.0528407,52.0
Cairo,2026-05-07 03:00:00+00:00,14.626,82.0,0.0,5.04,40.0
Cairo,2026-05-07 04:00:00+00:00,14.826,83.0,0.0,5.04,70.0
Cairo,2026-05-07 05:00:00+00:00,16.075998,77.0,0.0,5.7599998,95.0
Cairo,2026-05-07 06:00:00+00:00,18.276,67.0,0.0,7.9932976,37.0
Cairo,2026-05-07 07:00:00+00:00,20.726,50.0,0.0,11.923557,37.0
Cairo,2026-05-07 08:00:00+00:00,22.276,46.0,0.0,12.181624,40.0
Cairo,2026-05-07 09:00:00+00:00,23.925999,41.0,0.0,12.287555,33.0
Cairo,2026-05-07 10:00:00+00:00,25.376,37.0,0.0,12.10157,39.0
Cairo,2026-05-07 11:00:00+00:00,26.675999,32.0,0.0,12.55879,24.0
Cairo,2026-05-07 12:00:00+00:00,27.575998,31.0,0.0,12.904882,28.0
Cairo,2026-05-07 13:00:00+00:00,27.976,31.0,0.0,13.363711,29.0
Cairo,2026-05-07 14:00:00+00:00,27.876,29.0,0.0,14.021525,7.0
Cairo,2026-05-07 15:00:00+00:00,26.976,30.0,0.0,14.386494,6.0
Cairo,2026-05-07 16:00:00+00:00,25.276,32.0,0.0,14.480773,3.0
Cairo,2026-05-07 17:00:00+00:00,23.226,40.0,0.0,13.779114,1.0
Cairo,2026-05-07 18:00:00+00:00,21.575998,44.0,0.0,13.217443,0.0
Cairo,2026-05-07 19:00:00+00:00,20.026,51.0,0.0,12.55879,0.0
Cairo,2026-05-07 20:00:00+00:00,18.776,62.0,0.0,11.592895,0.0
Cairo,2026-05-07 21:00:00+00:00,17.876,67.0,0.0,10.028439,0.0
Cairo,2026-05-07 22:00:00+00:00,17.126,73.0,0.0,9.83268,0.0
