city;date;max_temp;precip_sum;wind_max;expected_delay_min;risk_bonus_egp;avg_daily_orders;total_bonus_budget
Cairo;2026-05-12 21:00:00+00:00;35.026;0.0;9.346143;0;0;150;0
Cairo;2026-05-13 21:00:00+00:00;38.126;0.0;11.212135;10;5;150;750
Cairo;2026-05-14 21:00:00+00:00;32.126;0.0;14.565548;0;0;150;0
Cairo;2026-05-15 21:00:00+00:00;32.676003;0.0;9.885262;0;0;150;0
Cairo;2026-05-16 21:00:00+00:00;41.676003;0.0;19.319628;10;5;150;750
Cairo;2026-05-17 21:00:00+00:00;34.423;0.0;19.453327;0;0;150;0
Cairo;2026-05-18 21:00:00+00:00;32.672;0.0;14.458382;0;0;150;0
Alexandria;2026-05-12 21:00:00+00:00;27.5045;0.0;11.570515;0;0;120;0
Alexandria;2026-05-13 21:00:00+00:00;29.904501;0.0;15.9134655;0;0;120;0
Alexandria;2026-05-14 21:00:00+00:00;23.3545;0.0;17.399586;0;0;120;0
Alexandria;2026-05-15 21:00:00+00:00;26.7045;0.0;12.904882;0;0;120;0
Alexandria;2026-05-16 21:00:00+00:00;37.554497;0.0;16.831684;0;0;120;0
Alexandria;2026-05-17 21:00:00+00:00;22.654501;0.0;20.46941;10;10;120;1200
Alexandria;2026-05-18 21:00:00+00:00;21.598;0.0;20.371038;10;10;120;1200
Giza;2026-05-12 21:00:00+00:00;35.1325;0.0;11.090103;0;0;140;0
Giza;2026-05-13 21:00:00+00:00;38.182503;0.0;11.367109;10;5;140;700
Giza;2026-05-14 21:00:00+00:00;31.932499;0.0;16.039202;0;0;140;0
Giza;2026-05-15 21:00:00+00:00;32.682503;0.0;11.252519;0;0;140;0
Giza;2026-05-16 21:00:00+00:00;41.7825;0.0;19.995398;10;5;140;700
Giza;2026-05-17 21:00:00+00:00;34.4305;0.0;22.065973;10;10;140;1400
Giza;2026-05-18 21:00:00+00:00;32.1805;0.0;15.141414;0;0;140;0
Qalyubia;2026-05-12 21:00:00+00:00;35.304497;0.0;11.269782;0;0;110;0
Qalyubia;2026-05-13 21:00:00+00:00;38.7045;0.0;18.0036;10;5;110;550
Qalyubia;2026-05-14 21:00:00+00:00;31.9545;0.0;19.008545;0;0;110;0
Qalyubia;2026-05-15 21:00:00+00:00;33.304497;0.0;14.494192;0;0;110;0
Qalyubia;2026-05-16 21:00:00+00:00;42.4545;0.0;22.932877;20;15;110;1650
Qalyubia;2026-05-17 21:00:00+00:00;33.58375;0.0;19.681828;0;0;110;0
Qalyubia;2026-05-18 21:00:00+00:00;31.9935;0.0;16.704155;0;0;110;0
Dakahlia;2026-05-12 21:00:00+00:00;34.487;0.0;12.522619;0;0;100;0
Dakahlia;2026-05-13 21:00:00+00:00;37.937;0.0;20.188908;10;10;100;1000
Dakahlia;2026-05-14 21:00:00+00:00;29.337;0.0;20.111729;10;10;100;1000
Dakahlia;2026-05-15 21:00:00+00:00;32.487;0.0;15.463244;0;0;100;0
Dakahlia;2026-05-16 21:00:00+00:00;42.787;0.0;20.608229;20;15;100;1500
Dakahlia;2026-05-17 21:00:00+00:00;32.5315;0.0;18.668005;0;0;100;0
Dakahlia;2026-05-18 21:00:00+00:00;31.013;0.0;17.429354;0;0;100;0
Gharbia;2026-05-12 21:00:00+00:00;34.6545;0.0;11.770403;0;0;95;0
Gharbia;2026-05-13 21:00:00+00:00;38.004498;0.0;20.620804;20;15;95;1425
Gharbia;2026-05-14 21:00:00+00:00;30.154501;0.0;20.390114;10;10;95;950
Gharbia;2026-05-15 21:00:00+00:00;32.504498;0.0;15.124284;0;0;95;0
Gharbia;2026-05-16 21:00:00+00:00;42.6045;0.0;20.991426;20;15;95;1425
Gharbia;2026-05-17 21:00:00+00:00;32.47675;0.0;19.734436;0;0;95;0
Gharbia;2026-05-18 21:00:00+00:00;31.7175;0.0;16.563911;0;0;95;0
Monufia;2026-05-12 21:00:00+00:00;35.035;0.0;12.0694;0;0;90;0
Monufia;2026-05-13 21:00:00+00:00;38.335003;0.0;21.479664;20;15;90;1350
Monufia;2026-05-14 21:00:00+00:00;31.135;0.0;20.073025;10;10;90;900
Monufia;2026-05-15 21:00:00+00:00;32.635002;0.0;12.55879;0;0;90;0
Monufia;2026-05-16 21:00:00+00:00;42.685;0.0;23.277834;20;15;90;1350
Monufia;2026-05-17 21:00:00+00:00;32.999626;0.0;19.734436;0;0;90;0
Monufia;2026-05-18 21:00:00+00:00;31.8545;0.0;16.575644;0;0;90;0
Sharqia;2026-05-12 21:00:00+00:00;35.1;0.0;12.313893;0;0;105;0
Sharqia;2026-05-13 21:00:00+00:00;38.8;0.0;18.374111;10;5;105;525
